I
1000 Generated by WorldEditor

1    143 1 0 RODN KADENA AB
100 91.44 1 0 0.25 0 3 0 05L  26.34624400  127.75151792    0  305 3 1 0 0 23R  26.36718540  127.78027132    0   10 3 7 0 0
100 60.96 2 0 0.25 0 3 0 05R  26.34404199  127.75503600    0  305 2 0 0 1 23L  26.36493969  127.78378178    0  307 2 0 0 1
102 H1  26.35147364  127.76348584 321.57 36.60 36.40 1 0 1 0.00 1
110 2 0.00 50.0000 New Taxiway 1
111  26.35886012  127.78045743
112  26.35887210  127.78064142  26.35884813  127.78075008
111  26.35877616  127.78079932
111  26.35810126  127.78146635
111  26.35738303  127.78059460
111  26.35645164  127.78155545
111  26.35868701  127.78395101
111  26.36081868  127.78622188
111  26.36101366  127.78602194
111  26.36153029  127.78586421
111  26.36142503  127.78554103
111  26.36100868  127.78567805
111  26.36078857  127.78564816
111  26.35894876  127.78370242
111  26.36007802  127.78248448
112  26.36019653  127.78244290  26.36027576  127.78244561
111  26.36033772  127.78249815
111  26.36058470  127.78278327
111  26.36076714  127.78258073
111  26.36021679  127.78198882
111  26.36007677  127.78183589
111  26.35991823  127.78199039
113  26.35960536  127.78162775
110 2 0.00 120.0000 New Taxiway 194
111  26.35903693  127.78034188
111  26.35886149  127.78045757
111  26.35960519  127.78163784
111  26.35991821  127.78199651
111  26.36007989  127.78183879
112  26.36003897  127.78171548  26.35999805  127.78159217
111  26.36018287  127.78127248
111  26.36073123  127.78077467
111  26.36080080  127.78084774
111  26.36111181  127.78057371
111  26.36107089  127.78049150
112  26.36160288  127.78002109  26.36170518  127.77997085
111  26.36193844  127.78009417
112  26.36169700  127.77972423  26.36169290  127.77971966
112  26.36144670  127.77941368  26.36155719  127.77961919
111  26.36137304  127.77987495
111  26.36092289  127.78029055
111  26.36085742  127.78022661
111  26.36053822  127.78050064
111  26.36058733  127.78059655
112  26.35988120  127.78118569  26.35966840  127.78130444
111  26.35945152  127.78106238
113  26.35920440  127.78061777
110 1 0.00 120.0000 New Taxiway 193
111  26.36208019  127.78402994
111  26.36176957  127.78368824
111  26.36214703  127.78327367
111  26.36192534  127.78301289
111  26.36155987  127.78344083
111  26.36132620  127.78318005
111  26.36152392  127.78295270
111  26.36163176  127.78307307
111  26.36186543  127.78284572
111  26.36121236  127.78194301
111  26.36097870  127.78216368
111  26.36114047  127.78244452
111  26.36112848  127.78267186
111  26.36119439  127.78284572
111  26.36109253  127.78293933
111  26.36006800  127.78183603
111  26.35991821  127.78199651
111  26.36072706  127.78294602
112  26.36067912  127.78311987  26.36064318  127.78315999
111  26.36042748  127.78324023
111  26.36023576  127.78374842
111  26.36117042  127.78471799
111  26.36138611  127.78447058
111  26.36084089  127.78386878
112  26.36099068  127.78352776  26.36101465  127.78351439
112  26.36121835  127.78348764  26.36129624  127.78358125
113  26.36189202  127.78424546
110 1 0.00 120.0000 New Taxiway 192
112  26.36406221  127.78297994  26.36418105  127.78320099
111  26.36400774  127.78343862
111  26.36369510  127.78374810
111  26.36360597  127.78364310
111  26.36298702  127.78420125
111  26.36307120  127.78427862
112  26.36287313  127.78449414  26.36273449  127.78464888
111  26.36249117  127.78447756
111  26.36235252  127.78434494
111  26.36251593  127.78417362
111  26.36273875  127.78393047
111  26.36253078  127.78368732
111  26.36214456  127.78411836
111  26.36208019  127.78402994
111  26.36189202  127.78424546
111  26.36177319  127.78439467
111  26.36172367  127.78436151
111  26.36157017  127.78453835
111  26.36153056  127.78464335
111  26.36159493  127.78472624
111  26.36166920  127.78465440
111  26.36171872  127.78467098
111  26.36186727  127.78452177
111  26.36180785  127.78448309
111  26.36196135  127.78431730
111  26.36205048  127.78443336
111  26.36168406  127.78484782
111  26.36194154  127.78506887
112  26.36227330  127.78464888  26.36228320  127.78464888
112  26.36244660  127.78486440  26.36258525  127.78501361
111  26.36231786  127.78517387
112  26.36104461  127.78573753  26.36087625  127.78583148
111  26.36073266  127.78566569
111  26.36085645  127.78544464
111  26.36094558  127.78552754
111  26.36124762  127.78520149
111  26.36100995  127.78492519
111  26.36057916  127.78546675
111  26.36018931  127.78500066
111  26.36000164  127.78522612
111  26.36020284  127.78543359
111  26.35978195  127.78590884
111  26.36004934  127.78616857
111  26.36048013  127.78578174
111  26.36097598  127.78603043
111  26.36158998  127.78583149
111  26.36179794  127.78642279
111  26.36294672  127.78590885
111  26.36285759  127.78555518
112  26.36275856  127.78545570  26.36270409  127.78536728
111  26.36284059  127.78524129
111  26.36338737  127.78519156
112  26.36350126  127.78509761  26.36351116  127.78509761
113  26.36475897  127.78394261
110 1 0.00 120.0000 New Taxiway 191
111  26.34719944  127.77456009
111  26.34642182  127.77565453
111  26.34872887  127.77818002
111  26.34933414  127.77728925
113  26.34935781  127.77678632
110 1 0.00 120.0000 New Taxiway 189
111  26.35524957  127.78180189
111  26.35275296  127.77930092
111  26.35256447  127.77900157
111  26.35045075  127.77696286
111  26.34982728  127.77635126
111  26.34976428  127.77639384
111  26.34972037  127.77635763
111  26.34936193  127.77679503
111  26.34917961  127.77699597
111  26.34905684  127.77708730
111  26.35099990  127.77932508
111  26.35183889  127.78026794
111  26.35148959  127.78079748
111  26.35252285  127.78189614
111  26.35323331  127.78116802
113  26.35473818  127.78280558
111  26.35273605  127.78117975
111  26.35262425  127.78120527
111  26.35221007  127.78088201
111  26.35216179  127.78072038
111  26.35235236  127.78043682
112  26.35251499  127.78041697  26.35252007  127.78042264
113  26.35295457  127.78087067
110 1 0.00 120.0000 New Taxiway 188
112  26.35573483  127.78079810  26.35573257  127.78079204
112  26.35568647  127.78142916  26.35567903  127.78159938
111  26.35555254  127.78166165
111  26.35515076  127.78128191
111  26.35499741  127.78112172
111  26.35542660  127.78047691
111  26.35525852  127.78031893
111  26.35476167  127.78089601
111  26.35461022  127.78075464
111  26.35454325  127.78068821
111  26.35508387  127.78013675
111  26.35482222  127.77988645
111  26.35431735  127.78047183
111  26.35418342  127.78038880
111  26.35466069  127.77982428
111  26.35449700  127.77965821
111  26.35400857  127.78015630
111  26.35390068  127.78004836
111  26.35438412  127.77958469
111  26.35418323  127.77939787
111  26.35373700  127.77987814
111  26.35362911  127.77980757
111  26.35405928  127.77933013
111  26.35391048  127.77917236
111  26.35345798  127.77962074
111  26.35336497  127.77952941
111  26.35377309  127.77910594
111  26.35357592  127.77897309
111  26.35314437  127.77933013
111  26.35283559  127.77896478
111  26.35277235  127.77908518
111  26.35504329  127.78134244
111  26.35575902  127.78204072
112  26.35597059  127.78118168  26.35597509  127.78106614
111  26.35610563  127.78118168
111  26.35676284  127.78187996
111  26.35643431  127.78235209
111  26.35662337  127.78252290
112  26.35682586  127.78233711  26.35683036  127.78233208
112  26.35714097  127.78218138  26.35728951  127.78229692
111  26.35727601  127.78278421
112  26.35698341  127.78314088  26.35683937  127.78332173
111  26.35653029  127.78307450
111  26.35524957  127.78180189
112  26.35473818  127.78280558  26.35489069  127.78296362
111  26.35520115  127.78305480
111  26.35561129  127.78264146
112  26.35645554  127.78344991  26.35669520  127.78366266
111  26.35699331  127.78344991
112  26.35750531  127.78290891  26.35768505  127.78273263
111  26.35791550  127.78295604
111  26.35855447  127.78366113
111  26.35881657  127.78395363
111  26.35851527  127.78428990
111  26.35869974  127.78450950
111  26.35902872  127.78417666
111  26.35945724  127.78470206
111  26.35921435  127.78509322
112  26.35937115  127.78508979  26.35945109  127.78500744
112  26.35968168  127.78513783  26.35974932  127.78521675
111  26.35954640  127.78542606
111  26.35966938  127.78556999
111  26.36000164  127.78522612
111  26.36018931  127.78500066
111  26.36027488  127.78486780
111  26.36033812  127.78492593
111  26.36065062  127.78457302
111  26.36030464  127.78422841
111  26.36001446  127.78455641
111  26.36002562  127.78462699
111  26.35993429  127.78476692
112  26.35903793  127.78387149  26.35897644  127.78379975
111  26.35873109  127.78355020
111  26.35844030  127.78312707
111  26.35796992  127.78243312
111  26.35751226  127.78179210
111  26.35729934  127.78131135
111  26.35773261  127.78094061
111  26.35756453  127.78067629
111  26.35712603  127.78097979
111  26.35692797  127.78118977
112  26.35679923  127.78107926  26.35675466  127.78097979
111  26.35687350  127.78067033
111  26.35713590  127.78037170
